Condition,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25,Measurement 26,Measurement 27,Measurement 28,Measurement 29,Measurement 30,Measurement 31,Measurement 32,Measurement 33,Measurement 34,Measurement 35,Measurement 36,Measurement 37,Measurement 38,Measurement 39,Measurement 40,Measurement 41,Measurement 42,Measurement 43,Measurement 44,Measurement 45,Measurement 46,Measurement 47,Measurement 48,Measurement 49,Measurement 50,Measurement 51,Measurement 52,Measurement 53,Measurement 54,Measurement 55,Measurement 56,Measurement 57,Measurement 58,Measurement 59,Measurement 60,Measurement 61,Measurement 62,Measurement 63,Measurement 64,Measurement 65,Measurement 66,Measurement 67,Measurement 68,Measurement 69,Measurement 70,Measurement 71,Measurement 72,Measurement 73,Measurement 74,Measurement 75,Measurement 76,Measurement 77,Measurement 78,Measurement 79,Measurement 80,Measurement 81,Measurement 82,Measurement 83,Measurement 84,Measurement 85,Measurement 86,Measurement 87,Measurement 88,Measurement 89,Measurement 90,Measurement 91,Measurement 92,Measurement 93,Measurement 94,Measurement 95,Measurement 96,Measurement 97,Measurement 98,Measurement 99,Measurement 100,Measurement 101,Measurement 102,Measurement 103,Measurement 104,Measurement 105,Measurement 106,Measurement 107,Measurement 108,Measurement 109,Measurement 110,Measurement 111,Measurement 112,Measurement 113,Measurement 114,Measurement 115,Measurement 116,Measurement 117,Measurement 118,Measurement 119,Measurement 120,Measurement 121,Measurement 122,Measurement 123,Measurement 124,Measurement 125,Measurement 126,Measurement 127,Measurement 128,Measurement 129,Measurement 130,Measurement 131,Measurement 132,Measurement 133,Measurement 134,Measurement 135,Measurement 136,Measurement 137,Measurement 138,Measurement 139,Measurement 140,Measurement 141,Measurement 142,Measurement 143,Measurement 144,Measurement 145,Measurement 146,Measurement 147,Measurement 148,Measurement 149,Measurement 150,Measurement 151,Measurement 152,Measurement 153,Measurement 154,Measurement 155,Measurement 156,Measurement 157,Measurement 158,Measurement 159,Measurement 160,Measurement 161,Measurement 162,Measurement 163,Measurement 164,Measurement 165,Measurement 166
Illuminance (lx),0.17480207119059044,0.6122879088594216,2.0644345371248707,4.624122384482338,18.636384563693365,33.408526259134895,45.74407555199179,62.05418244020987,71.62702366453715,89.23397569161457,100.27373730004845,118.46039520331615,131.38714733212495,138.52663505260207,139.24173542380254,0.8952026566494686,3.8118066073432364,8.588464172276474,23.15174381384793,59.024126510530884,103.39578961554587,136.63175820534556,182.81642007530826,218.7069416421172,260.81312147103597,298.0768648777296,345.9092839689149,391.3627563564675,419.5847741574578,422.1779082164687,0.7958782065436886,5.165771283705801,18.4389280694024,47.99445937482939,104.72097015801783,213.55648593948032,310.7935990433657,391.15667191202886,476.3098294783321,572.4585309076948,658.7251237378771,740.6301153843048,834.7809211047561,909.2631044307636,916.51341823044,1.5354499863127937,8.404325506485007,28.276870687168074,85.53106089791798,145.68129162383494,283.5620084660483,408.6621541024314,512.3434806644334,625.3618289928052,752.3140808195401,857.8906241584032,974.2197091613888,1097.3946837876263,1201.8920781809738,1205.6006503763667,0.6156532898329019,18.501201441274148,87.50410479200127,106.57179972518784,565.4432812313677,977.5096554464598,1374.6007492316587,1784.6502360241407,2182.8889226245446,2553.0639678256225,2917.1999250621866,3275.651534353887,3646.6557221623775,4039.9881982343386,4079.4947416500454,1.0272187262287371,21.414065557764882,104.322916003093,278.44824006055893,721.3011747236822,1221.8505986409132,1731.6914919870371,2235.332851545598,2690.3322249377998,3132.6555601652253,3594.2563097232255,4061.181537494418,4454.530832682756,4938.744704773446,4978.717711554143,1.7812325108373637,27.05635745605602,129.23343118031,278.8123456331091,1011.038949871117,3105.445081762005,4794.554441719325,6380.069824407153,7955.355574908447,9553.843802012529,11248.404756837974,12847.17102149279,14349.788029887632,16404.84681607216,16534.026490694596,0.0012999624209771865,4.529156197654139,51.64448675591656,111.18104400405092,573.4568650953016,2147.1209438038136,3641.44550634864,5065.020341329548,6467.1709917964245,7859.5380573774755,9265.212362295499,10616.893974132965,11866.90921727306,13699.915830983664,13899.654220910728,3.712824114563149,13.373640574070292,13.323206606950771,13.593196803644897,190.30070346434385,380.3582606750067,541.7525190829429,666.1371493153268,793.1025344263404,939.1695145008489,1050.2734033514967,1187.3601102861687,1297.3095932822373,1360.7004436636178,1365.9427472054495,1.1614505724393196,5.789123059198191,16.689154634480012,50.1619861775178,107.01577118131819,240.59911379202933,362.0490543744567,453.3586044715208,564.756353334529,672.5637679130764,761.6661841803787,869.1984946506631,950.8717875739542,1048.4186101488622,1058.58967392633,12.108439797327462,109.92464404733501,440.68919445824224,768.9909124330909,3630.567976944086,8663.661312923592,13278.477676312725,17538.5976820648,21671.656075658597,25731.63128508082,29639.006164365983,33373.17691999119,36649.63296148657,40698.71609733325,40770.20152508067,0.0006353903542536426
CIE 1931 xy chromaticity [x],0.1718842374691891,0.17035681124520072,0.17195977675855256,0.17128812519477649,0.17174754135328515,0.171668874098381,0.17173087957497457,0.17162385888144382,0.17143458518266957,0.17142873114153798,0.17134892373236713,0.17133144073456305,0.17115410159962305,0.1709948746162891,0.17098835717708658,0.16192191129036543,0.1617948908498517,0.16260814579623026,0.162822392389086,0.16383548238655307,0.16399145838623355,0.16398086262142533,0.16392609280996148,0.16391703010958925,0.16354944329452673,0.1635462251655126,0.16345804510361744,0.16352137415550644,0.16337030843048975,0.16345341620922477,0.13624683493885528,0.13730210296214324,0.13752422867572,0.13762737431872027,0.137669281473474,0.13828391382419333,0.13826559562819316,0.13819383076548705,0.13818374000325723,0.13815355702394777,0.13813740049480475,0.13805925915885445,0.13806754126960494,0.13790292659788808,0.13804324438155188,0.09167883886790242,0.09819265701909712,0.09799892833749085,0.10749861953428892,0.11424099870795333,0.12139184867572404,0.12303743825637092,0.1237275106812723,0.12423520297326829,0.12447659434068532,0.12449846903274005,0.12453851252412661,0.12460234157878938,0.12493654365139333,0.12487857996261122,0.13465358437121203,0.12558904092422668,0.12054082239511593,0.12046440807324713,0.10437701174496204,0.10036289159197648,0.09869677247055514,0.09820705348252601,0.09798716840498717,0.09784951955578887,0.09806624548591525,0.0983632499853777,0.09860335279734367,0.09876510644747387,0.09925312287752096,0.24983741590684527,0.25057282210212406,0.2421033599723679,0.22876748320641196,0.21017237167617267,0.19918800928901595,0.19366515789852795,0.19106603222269591,0.1901943688409208,0.18935731679347623,0.18913464210915862,0.18895472831931637,0.18886055738998112,0.18869139826178088,0.18890283633350669,0.4123969385067803,0.4153264869179022,0.41448826109638703,0.4141724078107971,0.4139097766585019,0.41375759181857547,0.4141030131082935,0.4143544631843237,0.41455839086243756,0.41485682713988276,0.4151763420292435,0.4154153282183305,0.4158700255991704,0.4161648157539347,0.416217786286034,0.2745401915806575,0.5749863525941392,0.5714339376143177,0.5715249886622005,0.5714556924125679,0.5706181864923182,0.5702630504051933,0.5697865145539165,0.569489129547266,0.5688987121447501,0.5686407740833114,0.5679916422364486,0.5676927954102448,0.5668608193376311,0.5667807908960029,0.6945320767155257,0.6963183979882037,0.6970432155678963,0.6951406160724053,0.6963100105248581,0.6967860567493616,0.6971563813983862,0.6974830798486732,0.6976424320154093,0.6977497284627145,0.6980496945712164,0.6982395023183204,0.6985632131110106,0.698751248833464,0.698560270131513,0.7205551779553572,0.7192316170621037,0.7140443533512697,0.7193483287463668,0.7198199297302482,0.718548604502882,0.7171943458008485,0.7192458145099773,0.7192640386839982,0.7194634106635114,0.7193986242006604,0.7197392580231431,0.7197816279051119,0.7198113033848917,0.7196348848065663,0.27225744295976106,0.2669015752025167,0.2685723882530772,0.2794723541084878,0.29806042535915084,0.3242458137345902,0.3345105087976077,0.33583404827358637,0.33910636911084724,0.337909922755973,0.3380797302454017,0.3370366129041136,0.33444383408892453,0.3357446836945516,0.3355470830968638,0.20061787133581965
CIE 1931 xy chromaticity [y],0.01770359097139287,0.01193245404502369,0.015662657595776747,0.014108605262012117,0.014773850032422882,0.014842788756383205,0.015094002666446902,0.015235814306931137,0.01484270875968558,0.01516341568408952,0.015037650899568137,0.015341371673297634,0.015096827778307637,0.014961873292311509,0.014979787082620911,0.027440544076467913,0.028731857313239285,0.028087205255436357,0.026286450415415035,0.02617276116922418,0.026201114559122246,0.026145973141380844,0.02615793280976501,0.026472396069631754,0.026052105961034154,0.02633181100374801,0.026435711984799704,0.02673412634525061,0.02674874290735862,0.02685163761342435,0.06625226120775467,0.06900155785801704,0.06916660511208622,0.06920308925724739,0.06936754758844028,0.06948692170963533,0.0692325080530622,0.06924083993894024,0.06941816551969211,0.06960737450879588,0.0699478172338954,0.07015108942775083,0.07053694968200039,0.07034607179314224,0.07055661975487033,0.22571668207569845,0.23634951954855393,0.22384016765646447,0.1829867277174118,0.15274810215490142,0.12981092865355165,0.12343425838938445,0.12111396248674454,0.12000026476695907,0.1192909515732015,0.11891662827120171,0.1188326828043492,0.11864582182812354,0.11811910756031832,0.11819126180516765,0.7252200393790308,0.7206302860976421,0.7152360524942242,0.7134565519277002,0.6664640828799393,0.6345436797309904,0.6202666266818919,0.6122026504424422,0.6076456839069033,0.6046495559319279,0.6030508648397234,0.6009680300506851,0.5993765503512585,0.5963791858615507,0.5952176478744471,0.7178063383931444,0.71546780027434,0.7207993651967138,0.7270734267599712,0.7316781168023277,0.7302193001838841,0.7281155207812329,0.7270839967116999,0.7255311937894701,0.7258574795659463,0.7249600580639771,0.7239991389883917,0.7231498357199735,0.7217939590220432,0.72111445813379,0.5604451827874549,0.5549777070285453,0.5535457833091165,0.5537277121801809,0.5534293586363809,0.5530670728721278,0.5529513225637523,0.5528768381076599,0.5526764444920005,0.552616857191319,0.5523427054597032,0.552120829695515,0.5521391248644859,0.551853088338265,0.551841446199523,0.4166016188953768,0.42380249729451697,0.4219999765847073,0.4221667192541994,0.4227466673737241,0.4232415376199539,0.42371589885931676,0.4240751092956051,0.42446701439176504,0.4246862514368605,0.4250261984293956,0.4252914521823559,0.42569643200643753,0.42620112207425853,0.42641939913821736,0.30404958798202714,0.30349798117683613,0.30283335447770976,0.30423793446111913,0.30353671118527736,0.3030956399391671,0.3027044018758555,0.3024015230361606,0.30224511041234925,0.3021371188504027,0.30183902868792417,0.3015348441207146,0.3013251185233738,0.3011372514265815,0.30127061122584814,0.2787404363643974,0.28016825152809105,0.2807216436887181,0.2802852473203852,0.28004098908589514,0.2801067963212834,0.2793582035352722,0.28050902992549315,0.2804698873618995,0.2803191216965047,0.2803447549241597,0.28022838990410676,0.2801837713166861,0.2801482505557258,0.28029359256852177,0.14368392296518695,0.23026419486412497,0.29996545841096134,0.22069928886296072,0.29822953262942464,0.31644424868518056,0.325868898393468,0.3269650881239092,0.3306107782866215,0.3289246111330005,0.33120118315333447,0.33064142942475283,0.32935769174690965,0.33425653626785,0.3349096050296597,0.19229404834362476
CIE 1964 x₁₀y₁₀ chromaticity [x₁₀],0.16852820831673218,0.16696458647495438,0.16848046054048427,0.16787381612815533,0.16832772798909176,0.16824522966149102,0.16828334242293944,0.1681634968339706,0.16795999197329797,0.16793183071042098,0.16781499069454936,0.16778086710710907,0.16758149685509804,0.1674082468394409,0.16740488316615273,0.15640902871146833,0.15645986213349064,0.15723423773483594,0.1575264809249145,0.15857715132988123,0.15875561466703425,0.15874032799093624,0.15868706887030087,0.15867996711155724,0.15830654655845633,0.15830205962226612,0.1582047179966064,0.15825507098685052,0.158117886638416,0.15819739710481606,0.12893595959588017,0.13000122715866708,0.13023058168581253,0.13039363604225207,0.13044790681563775,0.1311564555488098,0.13114299207013394,0.1310781495541633,0.1310692622860458,0.13103436463171872,0.13101346832120156,0.1309361534903685,0.13093830499626005,0.13076176491272845,0.1309051034266501,0.08116582697027624,0.08782341616703605,0.08717558922123908,0.09688595296750864,0.10426636671481919,0.11223450514363993,0.11408334637303111,0.11484895060349197,0.11542222922672646,0.11570565529952265,0.11573296375833167,0.1157943149829324,0.11589016731481695,0.11629647547253116,0.1162312516773873,0.17001530385370334,0.16027923898137347,0.15426719083205293,0.15383746985886898,0.13059812349899813,0.12265105726031629,0.11928429054319536,0.11794030688780306,0.11726426117324024,0.11688342279800502,0.11695483476698693,0.11710979773445024,0.11726984909259401,0.11720228241707066,0.11762109294829437,0.2939285000260803,0.2940571264228401,0.2855923175557684,0.2721377606968066,0.2526497824524506,0.24056018440711538,0.23437440755499103,0.23143224286746106,0.23027255885536216,0.2293859320218751,0.2290107218456054,0.22869960163560532,0.22848529805479814,0.22810028040431166,0.22824496388864865,0.4364198664337394,0.4383950768178331,0.43742464629347033,0.43707949406850466,0.43674238539541554,0.4365454787197124,0.436894727907397,0.43715163809945706,0.4373530396816792,0.4376587941310477,0.43796544940756577,0.4382036193995243,0.4386748415134864,0.4389653403726652,0.4390178982237651,0.2827348207568486,0.5851723513000545,0.5813660940593136,0.5814861174052596,0.5814776008628324,0.58069350063758,0.5804026736745628,0.579966557809676,0.5797199903149893,0.5791477015295985,0.5789360122971356,0.5783111159230133,0.5780634945287385,0.5772883088713243,0.5772399572271596,0.6844309997693677,0.6862019444813733,0.6868152925355556,0.685052259644694,0.6861844658857449,0.6866109422453458,0.6869209113146275,0.6872042378787722,0.6873385743667902,0.6874261084866292,0.6876840728464625,0.6878256339561141,0.6881217365588235,0.6882838600740637,0.6881061730201103,0.707781812961647,0.7065112299337561,0.70090014138604,0.7066597126861051,0.7072035530671559,0.7058168211567128,0.7042208929331258,0.7066507181768377,0.7066728202711666,0.7068486595217407,0.7067923990311579,0.7071359436186276,0.7071723936713594,0.7071966130043511,0.7070329754810771,0.25879238934437254,0.2615202129949428,0.26974473824221823,0.2740526263555396,0.2971298415373806,0.3240382327217575,0.33475373631179467,0.3362902986049446,0.3398120147300627,0.33862859306490806,0.33909304824692726,0.3381051109865915,0.3355838581020312,0.33737544293751437,0.3372719080783717,0.196900175621542
CIE 1964 x₁₀y₁₀ chromaticity [y₁₀],0.03003275137830824,0.02505242650926808,0.028284455230954873,0.026925907625025464,0.027455998923700757,0.027556839505006425,0.027804103192308,0.027974481510884778,0.02766262062499636,0.027994562903180257,0.027936522372388015,0.02823959013580601,0.02806896303014981,0.028000234015885243,0.0280078487177473,0.04711092600203098,0.04807720233183077,0.047123632472940866,0.044811656420716224,0.04422669164831396,0.04414611937448208,0.04411273881915749,0.044145225650736176,0.04449490798363199,0.044194315727014336,0.044508879727633434,0.04468485741086499,0.04503806230832281,0.04508345333713042,0.04518061235586167,0.1096720161020603,0.11257506723044022,0.11255817870238868,0.1122902925562046,0.11231142508993643,0.11187377385221947,0.11150020258965335,0.11148591246362856,0.11166701157009293,0.11189040755093312,0.112286852602908,0.11252453682858034,0.112963051450972,0.11280252301535111,0.11299277387041501,0.31483377080904,0.3247339415180522,0.31172042568550684,0.2615331110612745,0.22291296621009712,0.19196699138795037,0.18351307760212393,0.18040635550746242,0.17877923316629662,0.17775851841659313,0.17728315774853332,0.17710096911605855,0.17676260214992343,0.17582970777199325,0.17594297414137192,0.730982998040769,0.7295502660193752,0.7276115389145682,0.7267312564276085,0.699645082533463,0.676681597498185,0.666330318056699,0.6600098806771407,0.6563528535082495,0.6537681672917517,0.6523831133885937,0.650399379293392,0.6488066426960896,0.6461220067573247,0.6448837988464515,0.6842894006861525,0.6827602114503927,0.6891398596533779,0.6974066246152819,0.7066611928807561,0.7092741873317158,0.7094383144939838,0.7096378233729916,0.7087941176121643,0.7095177991963871,0.7089949486460668,0.7083534228967008,0.7077511846232629,0.7069206855086307,0.7063123642729677,0.5438669005969152,0.5398110071823189,0.5382948440922646,0.5384378329972735,0.5379914192021493,0.5375223553423221,0.5373632683519519,0.5372576832445229,0.5370549736595991,0.5369880603355707,0.5366899135708585,0.536450628788249,0.5364539787472482,0.5361337387089511,0.536120373259035,0.3972928113275883,0.41440913916145344,0.41271431032882866,0.41284945802503625,0.4133784868390435,0.4137974423497576,0.4142178049764911,0.4145366993929223,0.4149012050522452,0.4151003974380221,0.4153999587914171,0.41564281649764423,0.4160060539975029,0.41644919747515663,0.4166556119815679,0.3143016748950574,0.3137275693902155,0.3131719396576958,0.3144607310723834,0.31378612966890246,0.3133864708275595,0.3130495589134198,0.31279316506669463,0.3126613945261139,0.3125732647223775,0.31231578658815906,0.3120649757591336,0.3118760644132923,0.31171255644882195,0.31182763569798944,0.29147278914552577,0.29290595276333165,0.29318269598817354,0.292857881541332,0.29266473204161725,0.292624810924906,0.2918518741257522,0.2931362443638366,0.2930602206748067,0.2929633566936074,0.2929634061816009,0.2928625901355831,0.29282431937084774,0.2927934545248359,0.2929223422892934,0.16129643651711106,0.2423788956464257,0.30915428278632506,0.2295769815845284,0.3049454961533847,0.3209734370451813,0.33023206977267483,0.33089083524991386,0.33443344762631305,0.33282559861372674,0.33503636759606914,0.334489239240962,0.3334241598484461,0.3381354478715931,0.33877380789210976,0.21322256530029854
S-cone-opic irradiance (mW ⋅ m⁻²),6.729246015434285,35.31100998689031,90.13010607996321,225.17398931500026,867.4377359293308,1547.0948128953228,2080.410129357316,2791.8533924287967,3307.1147093812324,4025.2540821967937,4556.776730997068,5267.639718644307,5932.414883584257,6308.618342722238,6333.030693508656,20.9013537331088,84.95223331434599,196.07131205798345,567.3967975508102,1453.7088531607728,2544.012157975928,3368.6881915248323,4504.729086103522,5321.711512666603,6452.598725795235,7291.507374960245,8424.792950607796,9418.141168630238,10091.458699897175,10112.34198875119,6.816250899400725,42.24038948476943,150.48768761986616,392.0473034199258,854.6051914958974,1742.4731800197414,2548.290157604688,3208.482103337437,3897.025253405771,4670.7585042268265,5346.6354899716325,5993.455117965911,6715.773746296079,7340.194859826434,7372.943063193368,2.97361220326224,15.112340014204218,54.95727381127709,218.2281041206252,470.00986658559736,1121.463951414214,1719.3285709732156,2205.922104404288,2723.195854521218,3300.1364188381876,3778.4383059009265,4295.513921815457,4849.035699748247,5341.442587273287,5354.147443129882,0.05140922109798718,1.761852424520411,9.107949863670987,11.263053517696457,95.95254434175463,210.43289087679625,325.7019246716397,445.4474838995659,560.7449972731443,668.6772707171275,770.8111550791956,876.2039311658342,984.724258484432,1110.5322262916766,1128.1544913587943,0.014834240371816007,0.33703635562660267,1.7764702126330736,5.863795470300369,21.36906397538801,46.86602317459319,76.53277780355774,104.70097280145437,131.6073958260406,153.37151093553027,179.41851192687304,206.9298093868654,230.9891084040777,262.60662297718596,267.47938956870485,0.036664928678554,0.6302873751158778,3.4556433268407853,7.516806550359408,28.35228204428495,89.98958289244038,137.8413225066725,182.25817004917127,227.50123369721683,270.31327706831297,318.5641409968017,364.2700703081163,397.92771259368465,456.26593152521207,459.04889013389084,0.000775694291098963,0.0029470437302481023,0.5281076517282736,1.0859526065371226,5.080441982379208,20.35348229411188,33.65512359356011,47.75294900040594,59.56432582317874,77.31579626971373,89.66482179669391,109.52185812999343,119.90046716430618,145.89525547627304,144.13365999165052,0.010580362269995586,0.0022084564175891934,0.0004318323247673634,0.014527326314079216,0.011363329328691057,0.003970280232056451,0.03982984249094722,0.006768917591952281,0.0033668266606021726,0.00542666263918654,0.004875230436032761,0.2965853211716956,0.011871304734295823,0.017010292609690298,0.21544332878071248,0.0021250794508639132,0.007818686108385315,0.234501876993566,0.05623451225328354,0.03417050361227494,0.920093101333202,3.4788431089927165,0.22169930257463052,0.3710546463672923,0.2972381182902452,0.44275962847611894,0.0036946716263036587,0.008090998176389853,0.026368396753195997,0.11471497005539824,37.73121000628201,181.2094311495361,467.3908302691816,1325.970052844679,3668.5491832065863,7318.277745904957,10238.634964488096,13396.731983220174,16000.826194223426,19265.075365565,21844.532495473624,24759.057813872834,27599.786222375846,29569.397054933313,29510.29415839233,0.00150968266872008
