n_subjects,noise_scaling,p_favour_mel,p_unclear,p_favour_phot,n_sims,n_valid,n_failed,prop_failed
2,1,1,0,0,20,17,3,0.15
2,2,0.8947368421052632,0.10526315789473684,0,20,19,1,0.05
2,3,0.9411764705882353,0,0.058823529411764705,20,17,3,0.15
2,4,0.6153846153846154,0.38461538461538464,0,20,13,7,0.35
2,5,0.4444444444444444,0.5555555555555556,0,20,9,11,0.55
2,6,0.21428571428571427,0.7142857142857143,0.07142857142857142,20,14,6,0.3
2,7,0.25,0.75,0,20,12,8,0.4
2,8,0.2,0.7,0.1,20,10,10,0.5
2,9,0,1,0,20,9,11,0.55
2,10,0.2727272727272727,0.7272727272727273,0,20,11,9,0.45
3,1,1,0,0,20,20,0,0
3,2,1,0,0,20,19,1,0.05
3,3,0.7692307692307693,0.23076923076923078,0,20,13,7,0.35
3,4,0.6666666666666666,0.25,0.08333333333333333,20,12,8,0.4
3,5,0.8888888888888888,0,0.1111111111111111,20,9,11,0.55
3,6,0.5,0.5,0,20,8,12,0.6
3,7,0.5,0.4166666666666667,0.08333333333333333,20,12,8,0.4
3,8,0.3076923076923077,0.6923076923076923,0,20,13,7,0.35
3,9,0.1,0.8,0.1,20,10,10,0.5
3,10,0,1,0,20,7,13,0.65
4,1,1,0,0,20,20,0,0
4,2,1,0,0,20,17,3,0.15
4,3,0.9411764705882353,0.058823529411764705,0,20,17,3,0.15
4,4,0.9285714285714286,0.07142857142857142,0,20,14,6,0.3
4,5,0.5833333333333334,0.3333333333333333,0.08333333333333333,20,12,8,0.4
4,6,0.21428571428571427,0.5714285714285714,0.21428571428571427,20,14,6,0.3
4,7,0.26666666666666666,0.7333333333333333,0,20,15,5,0.25
4,8,0.1111111111111111,0.8888888888888888,0,20,9,11,0.55
4,9,0.45454545454545453,0.5454545454545454,0,20,11,9,0.45
4,10,0.07692307692307693,0.9230769230769231,0,20,13,7,0.35
5,1,1,0,0,20,20,0,0
5,2,1,0,0,20,18,2,0.1
5,3,1,0,0,20,16,4,0.2
5,4,0.8125,0.125,0.0625,20,16,4,0.2
5,5,0.75,0.25,0,20,12,8,0.4
5,6,0.5,0.3,0.2,20,10,10,0.5
5,7,0.6,0.4,0,20,5,15,0.75
5,8,0.08333333333333333,0.6666666666666666,0.25,20,12,8,0.4
5,9,0.3076923076923077,0.6153846153846154,0.07692307692307693,20,13,7,0.35
5,10,0.125,0.625,0.25,20,8,12,0.6
6,1,1,0,0,20,20,0,0
6,2,1,0,0,20,19,1,0.05
6,3,1,0,0,20,17,3,0.15
6,4,1,0,0,20,11,9,0.45
6,5,0.8888888888888888,0,0.1111111111111111,20,9,11,0.55
6,6,0.625,0.125,0.25,20,8,12,0.6
6,7,0.5555555555555556,0.4444444444444444,0,20,9,11,0.55
6,8,0.4444444444444444,0.4444444444444444,0.1111111111111111,20,9,11,0.55
6,9,0.16666666666666666,0.8333333333333334,0,20,12,8,0.4
6,10,0.16666666666666666,0.8333333333333334,0,20,12,8,0.4
7,1,1,0,0,20,20,0,0
7,2,1,0,0,20,19,1,0.05
7,3,1,0,0,20,17,3,0.15
7,4,0.9090909090909091,0.09090909090909091,0,20,11,9,0.45
7,5,0.6666666666666666,0.3333333333333333,0,20,6,14,0.7
7,6,0.7,0.3,0,20,10,10,0.5
7,7,0.7,0.3,0,20,10,10,0.5
7,8,0.5,0.375,0.125,20,8,12,0.6
7,9,0.125,0.75,0.125,20,8,12,0.6
7,10,0,0.8,0.2,20,10,10,0.5
8,1,1,0,0,20,20,0,0
8,2,1,0,0,20,19,1,0.05
8,3,1,0,0,20,17,3,0.15
8,4,0.9,0.1,0,20,10,10,0.5
8,5,0.9,0.1,0,20,10,10,0.5
8,6,0.6,0.3,0.1,20,10,10,0.5
8,7,0.5833333333333334,0.25,0.16666666666666666,20,12,8,0.4
8,8,0.2222222222222222,0.4444444444444444,0.3333333333333333,20,9,11,0.55
8,9,0.09090909090909091,0.8181818181818182,0.09090909090909091,20,11,9,0.45
8,10,0,0.9,0.1,20,10,10,0.5
9,1,1,0,0,20,20,0,0
9,2,1,0,0,20,20,0,0
9,3,1,0,0,20,17,3,0.15
9,4,0.6666666666666666,0.3333333333333333,0,20,12,8,0.4
9,5,0.9,0.1,0,20,10,10,0.5
9,6,0.7692307692307693,0.15384615384615385,0.07692307692307693,20,13,7,0.35
9,7,0.5714285714285714,0.2857142857142857,0.14285714285714285,20,7,13,0.65
9,8,0.5555555555555556,0.4444444444444444,0,20,9,11,0.55
9,9,0.07692307692307693,0.8461538461538461,0.07692307692307693,20,13,7,0.35
9,10,0.3,0.7,0,20,10,10,0.5
10,1,1,0,0,20,20,0,0
10,2,1,0,0,20,20,0,0
10,3,1,0,0,20,19,1,0.05
10,4,0.9166666666666666,0.08333333333333333,0,20,12,8,0.4
10,5,1,0,0,20,5,15,0.75
10,6,0.7272727272727273,0.18181818181818182,0.09090909090909091,20,11,9,0.45
10,7,0.5454545454545454,0.2727272727272727,0.18181818181818182,20,11,9,0.45
10,8,0.25,0.625,0.125,20,8,12,0.6
10,9,0.06666666666666667,0.8,0.13333333333333333,20,15,5,0.25
10,10,0.07142857142857142,0.8571428571428571,0.07142857142857142,20,14,6,0.3
11,1,1,0,0,20,20,0,0
11,2,1,0,0,20,20,0,0
11,3,1,0,0,20,19,1,0.05
11,4,0.9166666666666666,0,0.08333333333333333,20,12,8,0.4
11,5,0.7142857142857143,0.14285714285714285,0.14285714285714285,20,7,13,0.65
11,6,0.5,0.25,0.25,20,8,12,0.6
11,7,0.6363636363636364,0.2727272727272727,0.09090909090909091,20,11,9,0.45
11,8,0.3333333333333333,0.6666666666666666,0,20,6,14,0.7
11,9,0.09090909090909091,0.9090909090909091,0,20,11,9,0.45
11,10,0.18181818181818182,0.8181818181818182,0,20,11,9,0.45
12,1,1,0,0,20,20,0,0
12,2,1,0,0,20,20,0,0
12,3,1,0,0,20,19,1,0.05
12,4,0.9090909090909091,0.09090909090909091,0,20,11,9,0.45
12,5,0.8461538461538461,0.07692307692307693,0.07692307692307693,20,13,7,0.35
12,6,0.8333333333333334,0.16666666666666666,0,20,6,14,0.7
12,7,0.45454545454545453,0.45454545454545453,0.09090909090909091,20,11,9,0.45
12,8,0.75,0.25,0,20,12,8,0.4
12,9,0.45454545454545453,0.5454545454545454,0,20,11,9,0.45
12,10,0,0.9166666666666666,0.08333333333333333,20,12,8,0.4
13,1,1,0,0,20,20,0,0
13,2,1,0,0,20,20,0,0
13,3,1,0,0,20,19,1,0.05
13,4,1,0,0,20,10,10,0.5
13,5,0.8571428571428571,0.14285714285714285,0,20,7,13,0.65
13,6,0.7777777777777778,0.2222222222222222,0,20,9,11,0.55
13,7,0.7777777777777778,0.2222222222222222,0,20,9,11,0.55
13,8,0.375,0.625,0,20,8,12,0.6
13,9,0.1,0.8,0.1,20,10,10,0.5
13,10,0.15384615384615385,0.8461538461538461,0,20,13,7,0.35
14,1,1,0,0,20,20,0,0
14,2,1,0,0,20,19,1,0.05
14,3,1,0,0,20,20,0,0
14,4,1,0,0,20,14,6,0.3
14,5,0.9090909090909091,0.09090909090909091,0,20,11,9,0.45
14,6,0.75,0.25,0,20,4,16,0.8
14,7,0.6363636363636364,0.2727272727272727,0.09090909090909091,20,11,9,0.45
14,8,0.25,0.75,0,20,12,8,0.4
14,9,0.36363636363636365,0.45454545454545453,0.18181818181818182,20,11,9,0.45
14,10,0.1,0.9,0,20,10,10,0.5
15,1,1,0,0,20,20,0,0
15,2,1,0,0,20,20,0,0
15,3,1,0,0,20,17,3,0.15
15,4,1,0,0,20,10,10,0.5
15,5,1,0,0,20,9,11,0.55
15,6,0.7272727272727273,0.2727272727272727,0,20,11,9,0.45
15,7,0.6153846153846154,0.38461538461538464,0,20,13,7,0.35
15,8,0.6,0.3,0.1,20,10,10,0.5
15,9,0.4,0.6,0,20,10,10,0.5
15,10,0.09090909090909091,0.9090909090909091,0,20,11,9,0.45
16,1,1,0,0,20,20,0,0
16,2,1,0,0,20,20,0,0
16,3,1,0,0,20,17,3,0.15
16,4,1,0,0,20,9,11,0.55
16,5,0.8333333333333334,0.16666666666666666,0,20,6,14,0.7
16,6,0.8333333333333334,0.16666666666666666,0,20,6,14,0.7
16,7,0.5,0,0.5,20,4,16,0.8
16,8,0.5,0.4166666666666667,0.08333333333333333,20,12,8,0.4
16,9,0.1,0.9,0,20,10,10,0.5
16,10,0,1,0,20,11,9,0.45
17,1,1,0,0,20,20,0,0
17,2,1,0,0,20,20,0,0
17,3,1,0,0,20,19,1,0.05
17,4,1,0,0,20,9,11,0.55
17,5,0.75,0.25,0,20,4,16,0.8
17,6,0.8,0.2,0,20,5,15,0.75
17,7,0.6666666666666666,0.16666666666666666,0.16666666666666666,20,12,8,0.4
17,8,0.42857142857142855,0.5,0.07142857142857142,20,14,6,0.3
17,9,0.2222222222222222,0.6666666666666666,0.1111111111111111,20,9,11,0.55
17,10,0.16666666666666666,0.8333333333333334,0,20,12,8,0.4
18,1,1,0,0,20,20,0,0
18,2,1,0,0,20,20,0,0
18,3,1,0,0,20,17,3,0.15
18,4,1,0,0,20,17,3,0.15
18,5,1,0,0,20,5,15,0.75
18,6,0.8888888888888888,0,0.1111111111111111,20,9,11,0.55
18,7,0.5384615384615384,0.38461538461538464,0.07692307692307693,20,13,7,0.35
18,8,0.7,0.2,0.1,20,10,10,0.5
18,9,0.07692307692307693,0.9230769230769231,0,20,13,7,0.35
18,10,0,1,0,20,9,11,0.55
19,1,1,0,0,20,20,0,0
19,2,1,0,0,20,20,0,0
19,3,1,0,0,20,17,3,0.15
19,4,1,0,0,20,7,13,0.65
19,5,1,0,0,20,7,13,0.65
19,6,0.625,0.375,0,20,8,12,0.6
19,7,0.7142857142857143,0.2857142857142857,0,20,7,13,0.65
19,8,0.2,0.8,0,20,10,10,0.5
19,9,0.45454545454545453,0.5454545454545454,0,20,11,9,0.45
19,10,0,0.9,0.1,20,10,10,0.5
20,1,1,0,0,20,20,0,0
20,2,1,0,0,20,20,0,0
20,3,1,0,0,20,17,3,0.15
20,4,1,0,0,20,8,12,0.6
20,5,1,0,0,20,3,17,0.85
20,6,0.5,0.5,0,20,4,16,0.8
20,7,0.7142857142857143,0.2857142857142857,0,20,7,13,0.65
20,8,0.7777777777777778,0.1111111111111111,0.1111111111111111,20,9,11,0.55
20,9,0.36363636363636365,0.6363636363636364,0,20,11,9,0.45
20,10,0.46153846153846156,0.5384615384615384,0,20,13,7,0.35
21,1,1,0,0,20,20,0,0
21,2,1,0,0,20,20,0,0
21,3,1,0,0,20,19,1,0.05
21,4,1,0,0,20,14,6,0.3
21,5,1,0,0,20,6,14,0.7
21,6,0.4,0.4,0.2,20,5,15,0.75
21,7,0.5454545454545454,0.36363636363636365,0.09090909090909091,20,11,9,0.45
21,8,0.6,0.3333333333333333,0.06666666666666667,20,15,5,0.25
21,9,0.16666666666666666,0.75,0.08333333333333333,20,12,8,0.4
21,10,0.125,0.875,0,20,8,12,0.6
22,1,1,0,0,20,20,0,0
22,2,1,0,0,20,20,0,0
22,3,1,0,0,20,18,2,0.1
22,4,0.9,0.1,0,20,10,10,0.5
22,5,1,0,0,20,7,13,0.65
22,6,0.875,0.125,0,20,8,12,0.6
22,7,0.6363636363636364,0.18181818181818182,0.18181818181818182,20,11,9,0.45
22,8,0.5714285714285714,0.42857142857142855,0,20,7,13,0.65
22,9,0.5,0.5,0,20,10,10,0.5
22,10,0.14285714285714285,0.8571428571428571,0,20,14,6,0.3
23,1,1,0,0,20,20,0,0
23,2,1,0,0,20,20,0,0
23,3,1,0,0,20,17,3,0.15
23,4,1,0,0,20,11,9,0.45
23,5,0.9,0.1,0,20,10,10,0.5
23,6,0.6,0.4,0,20,5,15,0.75
23,7,0.75,0.25,0,20,8,12,0.6
23,8,0.6428571428571429,0.35714285714285715,0,20,14,6,0.3
23,9,0.5384615384615384,0.46153846153846156,0,20,13,7,0.35
23,10,0.2222222222222222,0.6666666666666666,0.1111111111111111,20,9,11,0.55
24,1,1,0,0,20,20,0,0
24,2,1,0,0,20,20,0,0
24,3,1,0,0,20,18,2,0.1
24,4,1,0,0,20,14,6,0.3
24,5,1,0,0,20,12,8,0.4
24,6,0.9,0,0.1,20,10,10,0.5
24,7,0.2222222222222222,0.5555555555555556,0.2222222222222222,20,9,11,0.55
24,8,0.4166666666666667,0.4166666666666667,0.16666666666666666,20,12,8,0.4
24,9,0.3333333333333333,0.6666666666666666,0,20,9,11,0.55
24,10,0.14285714285714285,0.8571428571428571,0,20,14,6,0.3
25,1,1,0,0,20,20,0,0
25,2,1,0,0,20,20,0,0
25,3,1,0,0,20,16,4,0.2
25,4,1,0,0,20,16,4,0.2
25,5,1,0,0,20,8,12,0.6
25,6,0.2857142857142857,0.5714285714285714,0.14285714285714285,20,7,13,0.65
25,7,0.8461538461538461,0.15384615384615385,0,20,13,7,0.35
25,8,0.5,0.42857142857142855,0.07142857142857142,20,14,6,0.3
25,9,0.2857142857142857,0.5714285714285714,0.14285714285714285,20,7,13,0.65
25,10,0.15384615384615385,0.7692307692307693,0.07692307692307693,20,13,7,0.35
26,1,1,0,0,20,20,0,0
26,2,1,0,0,20,20,0,0
26,3,1,0,0,20,17,3,0.15
26,4,1,0,0,20,14,6,0.3
26,5,0.6666666666666666,0.3333333333333333,0,20,6,14,0.7
26,6,1,0,0,20,7,13,0.65
26,7,0.6666666666666666,0.1111111111111111,0.2222222222222222,20,9,11,0.55
26,8,0.6666666666666666,0.3333333333333333,0,20,15,5,0.25
26,9,0.2,0.8,0,20,10,10,0.5
26,10,0.16666666666666666,0.75,0.08333333333333333,20,12,8,0.4
27,1,1,0,0,20,20,0,0
27,2,1,0,0,20,20,0,0
27,3,1,0,0,20,19,1,0.05
27,4,1,0,0,20,13,7,0.35
27,5,0.8571428571428571,0.14285714285714285,0,20,7,13,0.65
27,6,0.6666666666666666,0.3333333333333333,0,20,6,14,0.7
27,7,0.6666666666666666,0.25,0.08333333333333333,20,12,8,0.4
27,8,0.125,0.875,0,20,8,12,0.6
27,9,0.2727272727272727,0.7272727272727273,0,20,11,9,0.45
27,10,0.5,0.5,0,20,10,10,0.5
28,1,1,0,0,20,20,0,0
28,2,1,0,0,20,20,0,0
28,3,1,0,0,20,20,0,0
28,4,1,0,0,20,11,9,0.45
28,5,1,0,0,20,11,9,0.45
28,6,0.75,0.25,0,20,8,12,0.6
28,7,0.7692307692307693,0.15384615384615385,0.07692307692307693,20,13,7,0.35
28,8,0.625,0.375,0,20,8,12,0.6
28,9,0.6,0.4,0,20,10,10,0.5
28,10,0.18181818181818182,0.8181818181818182,0,20,11,9,0.45
29,1,1,0,0,20,20,0,0
29,2,1,0,0,20,20,0,0
29,3,1,0,0,20,19,1,0.05
29,4,1,0,0,20,13,7,0.35
29,5,0.875,0.125,0,20,8,12,0.6
29,6,0.8571428571428571,0,0.14285714285714285,20,7,13,0.65
29,7,0.75,0.25,0,20,8,12,0.6
29,8,0.5384615384615384,0.3076923076923077,0.15384615384615385,20,13,7,0.35
29,9,0.3333333333333333,0.6666666666666666,0,20,9,11,0.55
29,10,0.07692307692307693,0.7692307692307693,0.15384615384615385,20,13,7,0.35
30,1,1,0,0,20,20,0,0
30,2,1,0,0,20,20,0,0
30,3,1,0,0,20,17,3,0.15
30,4,1,0,0,20,14,6,0.3
30,5,0.8888888888888888,0.1111111111111111,0,20,9,11,0.55
30,6,0.9,0.1,0,20,10,10,0.5
30,7,0.7777777777777778,0.2222222222222222,0,20,9,11,0.55
30,8,0.6363636363636364,0.36363636363636365,0,20,11,9,0.45
30,9,0.2,0.6,0.2,20,10,10,0.5
30,10,0.2222222222222222,0.7777777777777778,0,20,9,11,0.55
31,1,1,0,0,20,20,0,0
31,2,1,0,0,20,20,0,0
31,3,1,0,0,20,17,3,0.15
31,4,1,0,0,20,11,9,0.45
31,5,1,0,0,20,9,11,0.55
31,6,1,0,0,20,5,15,0.75
31,7,0.6363636363636364,0.2727272727272727,0.09090909090909091,20,11,9,0.45
31,8,0.5,0.4,0.1,20,10,10,0.5
31,9,0,0.7777777777777778,0.2222222222222222,20,9,11,0.55
31,10,0.16666666666666666,0.8333333333333334,0,20,12,8,0.4
32,1,1,0,0,20,20,0,0
32,2,1,0,0,20,20,0,0
32,3,1,0,0,20,19,1,0.05
32,4,0.9090909090909091,0.09090909090909091,0,20,11,9,0.45
32,5,1,0,0,20,5,15,0.75
32,6,1,0,0,20,6,14,0.7
32,7,0.75,0,0.25,20,8,12,0.6
32,8,0.4166666666666667,0.4166666666666667,0.16666666666666666,20,12,8,0.4
32,9,0.23076923076923078,0.6923076923076923,0.07692307692307693,20,13,7,0.35
32,10,0,1,0,20,9,11,0.55
33,1,1,0,0,20,20,0,0
33,2,1,0,0,20,20,0,0
33,3,1,0,0,20,17,3,0.15
33,4,0.9230769230769231,0.07692307692307693,0,20,13,7,0.35
33,5,1,0,0,20,5,15,0.75
33,6,0.6666666666666666,0.3333333333333333,0,20,12,8,0.4
33,7,0.5,0.375,0.125,20,8,12,0.6
33,8,0.5384615384615384,0.38461538461538464,0.07692307692307693,20,13,7,0.35
33,9,0.6,0.3,0.1,20,10,10,0.5
33,10,0.3333333333333333,0.6666666666666666,0,20,9,11,0.55
34,1,1,0,0,20,20,0,0
34,2,1,0,0,20,20,0,0
34,3,1,0,0,20,18,2,0.1
34,4,0.9090909090909091,0.09090909090909091,0,20,11,9,0.45
34,5,1,0,0,20,8,12,0.6
34,6,1,0,0,20,4,16,0.8
34,7,0.6,0.3,0.1,20,10,10,0.5
34,8,0.5,0.5,0,20,10,10,0.5
34,9,0.4166666666666667,0.5833333333333334,0,20,12,8,0.4
34,10,0,1,0,20,12,8,0.4
35,1,1,0,0,20,20,0,0
35,2,1,0,0,20,20,0,0
35,3,1,0,0,20,17,3,0.15
35,4,1,0,0,20,14,6,0.3
35,5,1,0,0,20,7,13,0.65
35,6,0.75,0,0.25,20,4,16,0.8
35,7,1,0,0,20,13,7,0.35
35,8,0.6,0.3,0.1,20,10,10,0.5
35,9,0.4444444444444444,0.5555555555555556,0,20,9,11,0.55
35,10,0.1111111111111111,0.7777777777777778,0.1111111111111111,20,9,11,0.55
36,1,1,0,0,20,20,0,0
36,2,1,0,0,20,20,0,0
36,3,1,0,0,20,19,1,0.05
36,4,1,0,0,20,10,10,0.5
36,5,0.8571428571428571,0.14285714285714285,0,20,7,13,0.65
36,6,0.75,0.125,0.125,20,8,12,0.6
36,7,0.8888888888888888,0.1111111111111111,0,20,9,11,0.55
36,8,0.6923076923076923,0.3076923076923077,0,20,13,7,0.35
36,9,0.38461538461538464,0.6153846153846154,0,20,13,7,0.35
36,10,0.125,0.875,0,20,8,12,0.6
37,1,1,0,0,20,20,0,0
37,2,1,0,0,20,20,0,0
37,3,1,0,0,20,18,2,0.1
37,4,1,0,0,20,11,9,0.45
37,5,0.8333333333333334,0.16666666666666666,0,20,6,14,0.7
37,6,0.8571428571428571,0.14285714285714285,0,20,7,13,0.65
37,7,0.6666666666666666,0,0.3333333333333333,20,3,17,0.85
37,8,0.6666666666666666,0.3333333333333333,0,20,12,8,0.4
37,9,0.36363636363636365,0.5454545454545454,0.09090909090909091,20,11,9,0.45
37,10,0.07142857142857142,0.9285714285714286,0,20,14,6,0.3
38,1,1,0,0,20,20,0,0
38,2,1,0,0,20,20,0,0
38,3,1,0,0,20,19,1,0.05
38,4,1,0,0,20,13,7,0.35
38,5,0.9090909090909091,0.09090909090909091,0,20,11,9,0.45
38,6,0.75,0.25,0,20,8,12,0.6
38,7,0.8333333333333334,0.16666666666666666,0,20,6,14,0.7
38,8,0.42857142857142855,0.5,0.07142857142857142,20,14,6,0.3
38,9,0.3333333333333333,0.6666666666666666,0,20,12,8,0.4
38,10,0.25,0.75,0,20,12,8,0.4
39,1,1,0,0,20,20,0,0
39,2,1,0,0,20,20,0,0
39,3,1,0,0,20,17,3,0.15
39,4,1,0,0,20,14,6,0.3
39,5,0.875,0.125,0,20,8,12,0.6
39,6,0.6,0.4,0,20,5,15,0.75
39,7,0.8181818181818182,0.18181818181818182,0,20,11,9,0.45
39,8,0.4444444444444444,0.4444444444444444,0.1111111111111111,20,9,11,0.55
39,9,0.09090909090909091,0.8181818181818182,0.09090909090909091,20,11,9,0.45
39,10,0.18181818181818182,0.7272727272727273,0.09090909090909091,20,11,9,0.45
40,1,1,0,0,20,20,0,0
40,2,1,0,0,20,20,0,0
40,3,1,0,0,20,20,0,0
40,4,1,0,0,20,12,8,0.4
40,5,1,0,0,20,8,12,0.6
40,6,0.7777777777777778,0.1111111111111111,0.1111111111111111,20,9,11,0.55
40,7,0.6,0.2,0.2,20,10,10,0.5
40,8,0.5,0.5,0,20,10,10,0.5
40,9,0.2857142857142857,0.5714285714285714,0.14285714285714285,20,7,13,0.65
40,10,0.5,0.5,0,20,8,12,0.6
41,1,1,0,0,20,20,0,0
41,2,1,0,0,20,20,0,0
41,3,1,0,0,20,17,3,0.15
41,4,1,0,0,20,11,9,0.45
41,5,0.875,0.125,0,20,8,12,0.6
41,6,1,0,0,20,6,14,0.7
41,7,0.5,0.5,0,20,10,10,0.5
41,8,0.6153846153846154,0.38461538461538464,0,20,13,7,0.35
41,9,0.16666666666666666,0.8333333333333334,0,20,12,8,0.4
41,10,0,1,0,20,10,10,0.5
42,1,1,0,0,20,20,0,0
42,2,1,0,0,20,20,0,0
42,3,1,0,0,20,19,1,0.05
42,4,1,0,0,20,11,9,0.45
42,5,1,0,0,20,7,13,0.65
42,6,0.8333333333333334,0,0.16666666666666666,20,6,14,0.7
42,7,0.6666666666666666,0.25,0.08333333333333333,20,12,8,0.4
42,8,0.7,0.3,0,20,10,10,0.5
42,9,0.13333333333333333,0.8666666666666667,0,20,15,5,0.25
42,10,0.2,0.6,0.2,20,10,10,0.5
43,1,1,0,0,20,20,0,0
43,2,1,0,0,20,20,0,0
43,3,1,0,0,20,18,2,0.1
43,4,1,0,0,20,13,7,0.35
43,5,0.6666666666666666,0.3333333333333333,0,20,6,14,0.7
43,6,0.625,0.25,0.125,20,8,12,0.6
43,7,0.5833333333333334,0.3333333333333333,0.08333333333333333,20,12,8,0.4
43,8,0.7272727272727273,0.2727272727272727,0,20,11,9,0.45
43,9,0.42857142857142855,0.42857142857142855,0.14285714285714285,20,7,13,0.65
43,10,0.15384615384615385,0.8461538461538461,0,20,13,7,0.35
44,1,1,0,0,20,20,0,0
44,2,1,0,0,20,20,0,0
44,3,1,0,0,20,18,2,0.1
44,4,1,0,0,20,11,9,0.45
44,5,1,0,0,20,6,14,0.7
44,6,1,0,0,20,2,18,0.9
44,7,0.7142857142857143,0.2857142857142857,0,20,14,6,0.3
44,8,0.5833333333333334,0.3333333333333333,0.08333333333333333,20,12,8,0.4
44,9,0.3333333333333333,0.6666666666666666,0,20,9,11,0.55
44,10,0.25,0.75,0,20,12,8,0.4
45,1,1,0,0,20,20,0,0
45,2,1,0,0,20,20,0,0
45,3,1,0,0,20,19,1,0.05
45,4,1,0,0,20,13,7,0.35
45,5,0.875,0.125,0,20,8,12,0.6
45,6,0.5,0.3333333333333333,0.16666666666666666,20,6,14,0.7
45,7,0.75,0,0.25,20,12,8,0.4
45,8,0.4166666666666667,0.5,0.08333333333333333,20,12,8,0.4
45,9,0.23076923076923078,0.6153846153846154,0.15384615384615385,20,13,7,0.35
45,10,0.18181818181818182,0.8181818181818182,0,20,11,9,0.45
46,1,1,0,0,20,20,0,0
46,2,1,0,0,20,20,0,0
46,3,1,0,0,20,18,2,0.1
46,4,1,0,0,20,12,8,0.4
46,5,1,0,0,20,7,13,0.65
46,6,0.75,0.25,0,20,4,16,0.8
46,7,0.7142857142857143,0.2857142857142857,0,20,7,13,0.65
46,8,0.36363636363636365,0.5454545454545454,0.09090909090909091,20,11,9,0.45
46,9,0.4444444444444444,0.4444444444444444,0.1111111111111111,20,9,11,0.55
46,10,0.08333333333333333,0.9166666666666666,0,20,12,8,0.4
47,1,1,0,0,20,20,0,0
47,2,1,0,0,20,20,0,0
47,3,1,0,0,20,16,4,0.2
47,4,1,0,0,20,9,11,0.55
47,5,1,0,0,20,6,14,0.7
47,6,0.7142857142857143,0.2857142857142857,0,20,7,13,0.65
47,7,0.9,0,0.1,20,10,10,0.5
47,8,0.8,0.2,0,20,10,10,0.5
47,9,0.4166666666666667,0.5833333333333334,0,20,12,8,0.4
47,10,0.09090909090909091,0.9090909090909091,0,20,11,9,0.45
48,1,1,0,0,20,20,0,0
48,2,1,0,0,20,20,0,0
48,3,1,0,0,20,20,0,0
48,4,1,0,0,20,12,8,0.4
48,5,0.875,0.125,0,20,8,12,0.6
48,6,0.7272727272727273,0.2727272727272727,0,20,11,9,0.45
48,7,0.7777777777777778,0.2222222222222222,0,20,9,11,0.55
48,8,0.4166666666666667,0.5833333333333334,0,20,12,8,0.4
48,9,0.3,0.7,0,20,10,10,0.5
48,10,0.25,0.75,0,20,12,8,0.4
49,1,1,0,0,20,20,0,0
49,2,1,0,0,20,20,0,0
49,3,1,0,0,20,17,3,0.15
49,4,1,0,0,20,11,9,0.45
49,5,1,0,0,20,7,13,0.65
49,6,0.75,0.25,0,20,8,12,0.6
49,7,0.5714285714285714,0.42857142857142855,0,20,7,13,0.65
49,8,0.45454545454545453,0.45454545454545453,0.09090909090909091,20,11,9,0.45
49,9,0.18181818181818182,0.7272727272727273,0.09090909090909091,20,11,9,0.45
49,10,0.1,0.9,0,20,10,10,0.5
50,1,1,0,0,20,20,0,0
50,2,1,0,0,20,20,0,0
50,3,1,0,0,20,19,1,0.05
50,4,1,0,0,20,12,8,0.4
50,5,1,0,0,20,7,13,0.65
50,6,0.8,0.2,0,20,10,10,0.5
50,7,0.6666666666666666,0.3333333333333333,0,20,9,11,0.55
50,8,0.3333333333333333,0.6666666666666666,0,20,12,8,0.4
50,9,0.16666666666666666,0.75,0.08333333333333333,20,12,8,0.4
50,10,0.08333333333333333,0.8333333333333334,0.08333333333333333,20,12,8,0.4
